,INTERVALO,Obito_Total_H_BR,OBITO_CAN_BR,PERCENTUAL_BR,Obito_Total_H_SUDES,OBITO_CAN_SUDES,PERCENTUAL_SUDES,Obito_Total_H_CO,OBITO_CAN_CO,PERCENTUAL_CO,Obito_Total_H_NORD,OBITO_CAN_NORD,PERCENTUAL_NORD,Obito_Total_H_NORT,OBITO_CAN_NORT,PERCENTUAL_NORT,Obito_Total_H_SUL,OBITO_CAN_SUL,PERCENTUAL_SUL
0,1979,409085,5820,"1,42",215204,3779,"1,76",17103,183,"1,07",93874,475,"0,51",15865,184,"1,16",67039,1199,"1,79"
1,1980,431039,5949,"1,38",217591,3853,"1,77",19239,187,"0,97",107213,498,"0,46",16768,192,"1,15",70228,1219,"1,74"
2,1981,433002,6188,"1,43",217106,3866,"1,78",21628,243,"1,12",109266,625,"0,57",16645,199,"1,2",68357,1255,"1,84"
3,1982,431429,6181,"1,43",214538,3817,"1,78",21933,238,"1,09",110158,615,"0,56",16993,249,"1,47",67807,1262,"1,86"
4,1983,450396,6323,"1,4",219666,4017,"1,83",23023,245,"1,06",118990,590,"0,5",18373,238,"1,3",70344,1233,"1,75"
5,1984,474113,6318,"1,33",228267,3854,"1,69",23859,304,"1,27",129684,658,"0,51",20039,239,"1,19",72264,1263,"1,75"
6,1985,461917,6325,"1,37",228262,3856,"1,69",25171,307,"1,22",118106,633,"0,54",19795,262,"1,32",70583,1267,"1,8"
7,1986,476960,6269,"1,31",235752,3840,"1,63",25844,285,"1,1",121013,640,"0,53",21473,282,"1,31",72878,1222,"1,68"
8,1987,468724,6537,"1,39",233827,3987,"1,71",26069,290,"1,11",114942,721,"0,63",21238,254,"1,2",72648,1285,"1,77"
9,1988,489808,6484,"1,32",246296,3927,"1,59",26852,328,"1,22",119089,681,"0,57",21548,301,"1,4",76023,1247,"1,64"
10,1989,483684,6486,"1,34",247213,3948,"1,6",25315,305,"1,2",114061,681,"0,6",21744,243,"1,12",75351,1309,"1,74"
11,1990,481542,6560,"1,36",248773,3980,"1,6",22906,276,"1,2",110349,704,"0,64",22163,265,"1,2",77351,1335,"1,73"
12,1991,474771,6577,"1,39",243061,3775,"1,55",25017,301,"1,2",110574,748,"0,68",21444,276,"1,29",74675,1477,"1,98"
13,1992,488100,6960,"1,43",249788,4038,"1,62",26787,348,"1,3",112615,835,"0,74",21220,272,"1,28",77690,1467,"1,89"
14,1993,516060,6740,"1,31",264011,3956,"1,5",28085,280,1,118451,796,"0,67",22743,276,"1,21",82770,1432,"1,73"
15,1994,519815,6647,"1,28",267556,3846,"1,44",30016,374,"1,25",115959,792,"0,68",23480,281,"1,2",82804,1354,"1,64"
16,1995,521265,6871,"1,32",268989,4004,"1,49",30929,370,"1,2",114646,818,"0,71",23529,244,"1,04",83172,1435,"1,73"
17,1996,530069,7076,"1,33",275493,4192,"1,52",30188,334,"1,11",114699,843,"0,73",22892,330,"1,44",86797,1377,"1,59"
18,1997,528552,7123,"1,35",270983,4116,"1,52",31770,368,"1,16",117100,927,"0,79",24230,288,"1,19",84469,1424,"1,69"
19,1998,543383,7265,"1,34",271875,4097,"1,51",32190,363,"1,13",124530,957,"0,77",26220,313,"1,19",88568,1535,"1,73"
20,1999,547611,7201,"1,31",274297,4068,"1,48",33290,418,"1,26",125656,887,"0,71",27427,340,"1,24",86941,1488,"1,71"
21,2000,552127,7369,"1,33",271623,4071,"1,5",33621,410,"1,22",130023,1045,"0,8",28725,371,"1,29",88135,1472,"1,67"
22,2001,561166,7452,"1,33",272173,4066,"1,49",34010,385,"1,13",136472,1165,"0,85",30429,368,"1,21",88082,1468,"1,67"
23,2002,571399,7747,"1,36",273087,4115,"1,51",35718,441,"1,23",142238,1239,"0,87",30805,375,"1,22",89551,1577,"1,76"
24,2003,582810,7896,"1,35",278607,4199,"1,51",36252,422,"1,16",144175,1259,"0,87",32277,412,"1,28",91499,1604,"1,75"
25,2004,593750,8144,"1,37",281593,4284,"1,52",38322,513,"1,34",146114,1268,"0,87",33390,417,"1,25",94331,1662,"1,76"
26,2005,582311,8334,"1,43",273380,4327,"1,58",37894,452,"1,19",145168,1511,"1,04",33720,450,"1,33",92149,1594,"1,73"
27,2006,593786,8376,"1,41",281181,4120,"1,47",37912,485,"1,28",146873,1717,"1,17",34328,505,"1,47",93492,1549,"1,66"
28,2007,602592,8670,"1,44",281435,4303,"1,53",38794,494,"1,27",151122,1766,"1,17",34541,564,"1,63",96700,1543,"1,6"
29,2008,619278,8600,"1,39",285201,4195,"1,47",41264,476,"1,15",158124,1799,"1,14",37511,573,"1,53",97178,1557,"1,6"
30,2009,631225,8772,"1,39",288803,4231,"1,47",41663,525,"1,26",161568,1817,"1,12",38766,571,"1,47",100425,1628,"1,62"
31,2010,649378,8963,"1,38",298000,4320,"1,45",44101,528,"1,2",164833,1924,"1,17",40922,556,"1,36",101522,1635,"1,61"
32,2011,665551,8977,"1,35",300272,4282,"1,43",45433,518,"1,14",173848,1923,"1,11",41673,658,"1,58",104325,1596,"1,53"
33,2012,670743,9090,"1,36",300891,4258,"1,42",47009,518,"1,1",176224,1903,"1,08",43340,676,"1,56",103279,1735,"1,68"
34,2013,686668,9565,"1,39",306864,4539,"1,48",47327,563,"1,19",182469,2034,"1,11",44140,745,"1,69",105868,1684,"1,59"
35,2014,693922,9419,"1,36",308586,4362,"1,41",49091,568,"1,16",185065,2066,"1,12",45992,775,"1,69",105188,1648,"1,57"
