,INTERVALO,Obito_Total_M_BR,OBITO_CAN_BR,PERCENTUAL_BR,Obito_Total_M_SUDES,OBITO_CAN_SUDES,PERCENTUAL_SUDES,Obito_Total_M_CO,OBITO_CAN_CO,PERCENTUAL_CO,Obito_Total_M_NORD,OBITO_CAN_NORD,PERCENTUAL_NORD,Obito_Total_M_NORT,OBITO_CAN_NORT,PERCENTUAL_NORT,Obito_Total_M_SUL,OBITO_CAN_SUL,PERCENTUAL_SUL
0,1979,301491,3571,"1,18",155709,2310,"1,48",11823,102,"0,86",74912,346,"0,46",11678,79,"0,68",47369,734,"1,55"
1,1980,318483,3655,"1,15",157752,2297,"1,46",13015,120,"0,92",86240,340,"0,39",11969,92,"0,77",49507,806,"1,63"
2,1981,316247,3721,"1,18",156569,2319,"1,48",13927,115,"0,83",86517,344,"0,4",11833,118,1,47401,825,"1,74"
3,1982,309408,3795,"1,23",153564,2382,"1,55",14049,134,"0,95",84387,390,"0,46",11643,112,"0,96",45765,777,"1,7"
4,1983,320225,3859,"1,21",154946,2431,"1,57",14653,128,"0,87",89573,383,"0,43",12606,117,"0,93",48447,800,"1,65"
5,1984,334939,3792,"1,13",159121,2355,"1,48",15014,115,"0,77",97415,394,"0,4",13637,129,"0,95",49752,799,"1,61"
6,1985,325266,3725,"1,15",159061,2245,"1,41",15636,148,"0,95",87880,397,"0,45",13468,117,"0,87",49221,818,"1,66"
7,1986,333359,3939,"1,18",161763,2391,"1,48",16049,126,"0,79",91593,413,"0,45",14196,141,"0,99",49758,868,"1,74"
8,1987,329745,4069,"1,23",160862,2436,"1,51",16186,178,"1,1",87741,449,"0,51",14054,126,"0,9",50902,880,"1,73"
9,1988,343408,4181,"1,22",170041,2463,"1,45",16657,165,"0,99",89296,476,"0,53",13871,135,"0,97",53543,942,"1,76"
10,1989,330907,4124,"1,25",165426,2399,"1,45",15232,140,"0,92",84251,516,"0,61",13703,132,"0,96",52295,937,"1,79"
11,1990,334738,4081,"1,22",170219,2415,"1,42",14363,142,"0,99",81475,466,"0,57",14591,138,"0,95",54090,920,"1,7"
12,1991,327387,4303,"1,31",164762,2546,"1,55",15436,160,"1,04",81486,480,"0,59",13603,156,"1,15",52100,961,"1,84"
13,1992,337787,4342,"1,29",169420,2503,"1,48",16528,173,"1,05",83425,537,"0,64",13701,146,"1,07",54713,983,"1,8"
14,1993,359921,4377,"1,22",180667,2531,"1,4",17285,196,"1,13",88854,507,"0,57",14812,128,"0,86",58303,1015,"1,74"
