ANO;OBITO_TOTAL;OBITO_CANCER;PERCENTUAL
1979;93874;475;0,51
1980;107213;498;0,46
1981;109266;625;0,57
1982;110158;615;0,56
1983;118990;590;0,5
1984;129684;658;0,51
1985;118106;633;0,54
1986;121013;640;0,53
1987;114942;721;0,63
1988;119089;681;0,57
1989;114061;681;0,6
1990;110349;704;0,64
1991;110574;748;0,68
1992;112615;835;0,74
1993;118451;796;0,67
1994;115959;792;0,68
1995;114646;818;0,71
1996;114699;843;0,73
1997;117100;927;0,79
1998;124530;957;0,77
1999;125656;887;0,71
2000;130023;1045;0,8
2001;136472;1165;0,85
2002;142238;1239;0,87
2003;144175;1259;0,87
2004;146114;1268;0,87
2005;145168;1511;1,04
2006;146873;1717;1,17
2007;151122;1766;1,17
2008;158124;1799;1,14
2009;161568;1817;1,12
2010;164833;1924;1,17
2011;173848;1923;1,11
2012;176224;1903;1,08
2013;182469;2034;1,11
2014;185065;2066;1,12
2015;192385;2138;1,11
2016;199015;2201;1,11
2017;201255;2193;1,09
2018;195296;2280;1,17
2019;197380;2433;1,23
2020;237124;2195;0,93
