ANO;OBITO_TOTAL;OBITO_CANCER;PERCENTUAL
1979;67039;1199;1,79
1980;70228;1219;1,74
1981;68357;1255;1,84
1982;67807;1262;1,86
1983;70344;1233;1,75
1984;72264;1263;1,75
1985;70583;1267;1,8
1986;72878;1222;1,68
1987;72648;1285;1,77
1988;76023;1247;1,64
1989;75351;1309;1,74
1990;77351;1335;1,73
1991;74675;1477;1,98
1992;77690;1467;1,89
1993;82770;1432;1,73
1994;82804;1354;1,64
1995;83172;1435;1,73
1996;86797;1377;1,59
1997;84469;1424;1,69
1998;88568;1535;1,73
1999;86941;1488;1,71
2000;88135;1472;1,67
2001;88082;1468;1,67
2002;89551;1577;1,76
2003;91499;1604;1,75
2004;94331;1662;1,76
2005;92149;1594;1,73
2006;93492;1549;1,66
2007;96700;1543;1,6
2008;97178;1557;1,6
2009;100425;1628;1,62
2010;101522;1635;1,61
2011;104325;1596;1,53
2012;103279;1735;1,68
2013;105868;1684;1,59
2014;105188;1648;1,57
2015;106378;1685;1,58
2016;112466;1717;1,53
2017;109740;1693;1,54
2018;112244;1815;1,62
2019;112805;1757;1,56
2020;123659;1644;1,33
