ANO;OBITO_TOTAL;OBITO_CANCER;PERCENTUAL
1979;47369;734;1,55
1980;49507;806;1,63
1981;47401;825;1,74
1982;45765;777;1,7
1983;48447;800;1,65
1984;49752;799;1,61
1985;49221;818;1,66
1986;49758;868;1,74
1987;50902;880;1,73
1988;53543;942;1,76
1989;52295;937;1,79
1990;54090;920;1,7
1991;52100;961;1,84
1992;54713;983;1,8
1993;58303;1015;1,74
1994;58349;1008;1,73
1995;59619;1029;1,73
1996;62528;1026;1,64
1997;60313;1034;1,71
1998;64447;1054;1,64
1999;62968;1099;1,75
2000;64294;1091;1,7
2001;63513;1117;1,76
2002;65423;1114;1,7
2003;66094;1164;1,76
2004;68701;1183;1,72
2005;67750;1243;1,83
2006;69855;1224;1,75
2007;72238;1205;1,67
2008;72407;1181;1,63
2009;75123;1153;1,53
2010;77885;1272;1,63
2011;80288;1241;1,55
2012;80196;1282;1,6
2013;83315;1269;1,52
2014;83298;1267;1,52
2015;84770;1331;1,57
2016;90088;1322;1,47
2017;88033;1284;1,46
2018;91409;1379;1,51
2019;93241;1401;1,5
2020;98108;1312;1,34
