ANO;OBITO_TOTAL;OBITO_CANCER;PERCENTUAL
1979;409085;5820;1,42
1980;431039;5949;1,38
1981;433002;6188;1,43
1982;431429;6181;1,43
1983;450396;6323;1,4
1984;474113;6318;1,33
1985;461917;6325;1,37
1986;476960;6269;1,31
1987;468724;6537;1,39
1988;489808;6484;1,32
1989;483684;6486;1,34
1990;481542;6560;1,36
1991;474771;6577;1,39
1992;488100;6960;1,43
1993;516060;6740;1,31
1994;519815;6647;1,28
1995;521265;6871;1,32
1996;530069;7076;1,33
1997;528552;7123;1,35
1998;543383;7265;1,34
1999;547611;7201;1,31
2000;552127;7369;1,33
2001;561166;7452;1,33
2002;571399;7747;1,36
2003;582810;7896;1,35
2004;593750;8144;1,37
2005;582311;8334;1,43
2006;593786;8376;1,41
2007;602592;8670;1,44
2008;619278;8600;1,39
2009;631225;8772;1,39
2010;649378;8963;1,38
2011;665551;8977;1,35
2012;670743;9090;1,36
2013;686668;9565;1,39
2014;693922;9419;1,36
2015;709117;9626;1,36
2016;736842;9954;1,35
2017;734469;9731;1,32
2018;733616;9950;1,36
2019;745519;10204;1,37
2020;874167;9411;1,08
