ANO;OBITO_TOTAL;OBITO_CANCER;PERCENTUAL
1979;17103;183;1,07
1980;19239;187;0,97
1981;21628;243;1,12
1982;21933;238;1,09
1983;23023;245;1,06
1984;23859;304;1,27
1985;25171;307;1,22
1986;25844;285;1,1
1987;26069;290;1,11
1988;26852;328;1,22
1989;25315;305;1,2
1990;22906;276;1,2
1991;25017;301;1,2
1992;26787;348;1,3
1993;28085;280;1
1994;30016;374;1,25
1995;30929;370;1,2
1996;30188;334;1,11
1997;31770;368;1,16
1998;32190;363;1,13
1999;33290;418;1,26
2000;33621;410;1,22
2001;34010;385;1,13
2002;35718;441;1,23
2003;36252;422;1,16
2004;38322;513;1,34
2005;37894;452;1,19
2006;37912;485;1,28
2007;38794;494;1,27
2008;41264;476;1,15
2009;41663;525;1,26
2010;44101;528;1,2
2011;45433;518;1,14
2012;47009;518;1,1
2013;47327;563;1,19
2014;49091;568;1,16
2015;49693;544;1,09
2016;50737;609;1,2
2017;50997;646;1,27
2018;50872;584;1,15
2019;51934;621;1,2
2020;63311;590;0,93
