ANO;OBITO_TOTAL;OBITO_CANCER;PERCENTUAL
1979;15865;184;1,16
1980;16768;192;1,15
1981;16645;199;1,2
1982;16993;249;1,47
1983;18373;238;1,3
1984;20039;239;1,19
1985;19795;262;1,32
1986;21473;282;1,31
1987;21238;254;1,2
1988;21548;301;1,4
1989;21744;243;1,12
1990;22163;265;1,2
1991;21444;276;1,29
1992;21220;272;1,28
1993;22743;276;1,21
1994;23480;281;1,2
1995;23529;244;1,04
1996;22892;330;1,44
1997;24230;288;1,19
1998;26220;313;1,19
1999;27427;340;1,24
2000;28725;371;1,29
2001;30429;368;1,21
2002;30805;375;1,22
2003;32277;412;1,28
2004;33390;417;1,25
2005;33720;450;1,33
2006;34328;505;1,47
2007;34541;564;1,63
2008;37511;573;1,53
2009;38766;571;1,47
2010;40922;556;1,36
2011;41673;658;1,58
2012;43340;676;1,56
2013;44140;745;1,69
2014;45992;775;1,69
2015;47950;791;1,65
2016;49725;840;1,69
2017;50937;872;1,71
2018;51568;848;1,64
2019;52206;889;1,7
2020;66820;862;1,29
