ANO;OBITO_TOTAL;OBITO_CANCER;PERCENTUAL
1979;215204;3779;1,76
1980;217591;3853;1,77
1981;217106;3866;1,78
1982;214538;3817;1,78
1983;219666;4017;1,83
1984;228267;3854;1,69
1985;228262;3856;1,69
1986;235752;3840;1,63
1987;233827;3987;1,71
1988;246296;3927;1,59
1989;247213;3948;1,6
1990;248773;3980;1,6
1991;243061;3775;1,55
1992;249788;4038;1,62
1993;264011;3956;1,5
1994;267556;3846;1,44
1995;268989;4004;1,49
1996;275493;4192;1,52
1997;270983;4116;1,52
1998;271875;4097;1,51
1999;274297;4068;1,48
2000;271623;4071;1,5
2001;272173;4066;1,49
2002;273087;4115;1,51
2003;278607;4199;1,51
2004;281593;4284;1,52
2005;273380;4327;1,58
2006;281181;4120;1,47
2007;281435;4303;1,53
2008;285201;4195;1,47
2009;288803;4231;1,47
2010;298000;4320;1,45
2011;300272;4282;1,43
2012;300891;4258;1,42
2013;306864;4539;1,48
2014;308586;4362;1,41
2015;312711;4468;1,43
2016;324899;4587;1,41
2017;321540;4327;1,35
2018;323636;4423;1,37
2019;331194;4504;1,36
2020;383253;4120;1,08
