ANO;OBITO_TOTAL;OBITO_CANCER;PERCENTUAL
1979;301491;3571;1,18
1980;318483;3655;1,15
1981;316247;3721;1,18
1982;309408;3795;1,23
1983;320225;3859;1,21
1984;334939;3792;1,13
1985;325266;3725;1,15
1986;333359;3939;1,18
1987;329745;4069;1,23
1988;343408;4181;1,22
1989;330907;4124;1,25
1990;334738;4081;1,22
1991;327387;4303;1,31
1992;337787;4342;1,29
1993;359921;4377;1,22
1994;364912;4419;1,21
1995;368828;4525;1,23
1996;376502;4708;1,25
1997;373714;4797;1,28
1998;386953;4664;1,21
1999;389910;4829;1,24
2000;393606;4914;1,25
2001;399576;5032;1,26
2002;410737;5160;1,26
2003;418714;5445;1,3
2004;429625;5551;1,29
2005;424064;5746;1,35
2006;437429;6064;1,39
2007;444714;6257;1,41
2008;457269;6164;1,35
2009;471389;6021;1,28
2010;487137;6490;1,33
2011;504415;6395;1,27
2012;509885;6752;1,32
2013;523195;6767;1,29
2014;532362;6828;1,28
2015;554383;7008;1,26
2016;572359;7065;1,23
2017;577573;7014;1,21
2018;582457;7267;1,25
2019;603725;7389;1,22
2020;682027;6918;1,01
