ANO;OBITO_TOTAL;OBITO_CANCER;PERCENTUAL
1979;11823;102;0,86
1980;13015;120;0,92
1981;13927;115;0,83
1982;14049;134;0,95
1983;14653;128;0,87
1984;15014;115;0,77
1985;15636;148;0,95
1986;16049;126;0,79
1987;16186;178;1,1
1988;16657;165;0,99
1989;15232;140;0,92
1990;14363;142;0,99
1991;15436;160;1,04
1992;16528;173;1,05
1993;17285;196;1,13
1994;18351;187;1,02
1995;19399;214;1,1
1996;18996;195;1,03
1997;19865;242;1,22
1998;20519;228;1,11
1999;21075;218;1,03
2000;20623;264;1,28
2001;21430;246;1,15
2002;22560;259;1,15
2003;22888;266;1,16
2004;24277;273;1,12
2005;23788;290;1,22
2006;24515;317;1,29
2007;25207;349;1,38
2008;26247;301;1,15
2009;27138;300;1,11
2010;28840;337;1,17
2011;29468;349;1,18
2012;30785;351;1,14
2013;31351;362;1,15
2014;32717;400;1,22
2015;33636;424;1,26
2016;33629;446;1,33
2017;35092;404;1,15
2018;35561;457;1,29
2019;37017;398;1,08
2020;43673;428;0,98
