ANO;OBITO_TOTAL;OBITO_CANCER;PERCENTUAL
1979;74912;346;0,46
1980;86240;340;0,39
1981;86517;344;0,4
1982;84387;390;0,46
1983;89573;383;0,43
1984;97415;394;0,4
1985;87880;397;0,45
1986;91593;413;0,45
1987;87741;449;0,51
1988;89296;476;0,53
1989;84251;516;0,61
1990;81475;466;0,57
1991;81486;480;0,59
1992;83425;537;0,64
1993;88854;507;0,57
1994;88836;526;0,59
1995;88843;618;0,7
1996;88438;640;0,72
1997;88777;618;0,7
1998;94195;711;0,75
1999;95416;703;0,74
2000;97854;724;0,74
2001;101352;765;0,75
2002;106322;854;0,8
2003;108281;945;0,87
2004;110055;1015;0,92
2005;109172;1131;1,04
2006;109134;1307;1,2
2007;110880;1403;1,27
2008;115569;1400;1,21
2009;118733;1307;1,1
2010;119642;1481;1,24
2011;127576;1486;1,16
2012;129330;1590;1,23
2013;133741;1570;1,17
2014;134497;1608;1,2
2015;145113;1704;1,17
2016;147900;1691;1,14
2017;150569;1659;1,1
2018;148460;1776;1,2
2019;155237;1794;1,16
2020;178619;1729;0,97
