ANO;OBITO_TOTAL;OBITO_CANCER;PERCENTUAL
1979;11678;79;0,68
1980;11969;92;0,77
1981;11833;118;1
1982;11643;112;0,96
1983;12606;117;0,93
1984;13637;129;0,95
1985;13468;117;0,87
1986;14196;141;0,99
1987;14054;126;0,9
1988;13871;135;0,97
1989;13703;132;0,96
1990;14591;138;0,95
1991;13603;156;1,15
1992;13701;146;1,07
1993;14812;128;0,86
1994;15256;137;0,9
1995;15604;136;0,87
1996;15434;193;1,25
1997;15859;179;1,13
1998;17243;175;1,01
1999;17937;187;1,04
2000;18747;192;1,02
2001;20195;208;1,03
2002;19477;220;1,13
2003;20483;219;1,07
2004;20855;230;1,1
2005;21092;244;1,16
2006;21478;285;1,33
2007;22134;342;1,55
2008;23406;304;1,3
2009;24177;280;1,16
2010;24438;311;1,27
2011;26056;324;1,24
2012;27258;360;1,32
2013;27365;388;1,42
2014;28447;400;1,41
2015;29911;411;1,37
2016;30313;450;1,48
2017;31978;446;1,39
2018;32741;464;1,42
2019;33379;468;1,4
2020;42105;431;1,02
