ANO;OBITO_TOTAL;OBITO_CANCER;PERCENTUAL
1979;409085;65;0,02
1980;431039;54;0,01
1981;433002;60;0,01
1982;431429;59;0,01
1983;450396;48;0,01
1984;474113;44;0,01
1985;461917;44;0,01
1986;476960;32;0,01
1987;468724;46;0,01
1988;489808;41;0,01
1989;483684;61;0,01
1990;481542;39;0,01
1991;474771;46;0,01
1992;488100;53;0,01
1993;516060;63;0,01
1994;519815;56;0,01
1995;521265;96;0,02
1996;530069;117;0,02
1997;528552;118;0,02
1998;543383;124;0,02
1999;547611;136;0,02
2000;552127;129;0,02
2001;561166;144;0,03
2002;571399;167;0,03
2003;582810;167;0,03
2004;593750;145;0,02
2005;582311;166;0,03
2006;593786;182;0,03
2007;602592;184;0,03
2008;619278;183;0,03
2009;631225;190;0,03
2010;649378;197;0,03
2011;665551;198;0,03
2012;670743;219;0,03
2013;686668;226;0,03
2014;693922;180;0,03
2015;709117;233;0,03
2016;736842;243;0,03
2017;734469;247;0,03
2018;733616;241;0,03
2019;745519;257;0,03
2020;874167;265;0,03
