ANO;OBITO_TOTAL;OBITO_CANCER;PERCENTUAL
1979;301491;26;0,01
1980;318483;25;0,01
1981;316247;20;0,01
1982;309408;18;0,01
1983;320225;24;0,01
1984;334939;25;0,01
1985;325266;18;0,01
1986;333359;20;0,01
1987;329745;19;0,01
1988;343408;21;0,01
1989;330907;22;0,01
1990;334738;18;0,01
1991;327387;29;0,01
1992;337787;27;0,01
1993;359921;27;0,01
1994;364912;31;0,01
1995;368828;31;0,01
1996;376502;38;0,01
1997;373714;50;0,01
1998;386953;42;0,01
1999;389910;50;0,01
2000;393606;53;0,01
2001;399576;62;0,02
2002;410737;66;0,02
2003;418714;66;0,02
2004;429625;74;0,02
2005;424064;73;0,02
2006;437429;70;0,02
2007;444714;80;0,02
2008;457269;73;0,02
2009;471389;75;0,02
2010;487137;93;0,02
2011;504415;102;0,02
2012;509885;92;0,02
2013;523195;93;0,02
2014;532362;108;0,02
2015;554383;82;0,01
2016;572359;113;0,02
2017;577573;102;0,02
2018;582457;115;0,02
2019;603725;117;0,02
2020;682027;105;0,02
